,id,Name1,Name2,Road1,Road2,Cos_sim_road,label
0,C6-M225,沙田奥运马术比赛场,香港体育学院,源禾路25号,源禾路25号,1.0,0
1,C142-M28,梳士巴利花园艺术广场,天星码头,梳士巴利道,梳士巴利道,1.0,0
2,C219-M63,荷李活道儿童游乐场,荷李活道,荷李活道,荷李活道,1.0,0
3,C219-M160,荷李活道儿童游乐场,楼梯街,荷李活道,荷李活道,1.0,0
4,C233-M81,儿童探知馆,香港文化博物馆,文林路1号,文林路1号,1.0,0
5,C237-M83,一画廊,皇后像广场,德辅道,德辅道,1.0,0
6,C277-M229,石馆,斧山公园,凤德道60号,凤德道60号,1.0,0
7,C465-M13,搞错3D艺趣坊,香港杜莎夫人蜡像馆,山顶道128号,山顶道128号,1.0,0
8,C465-M21,搞错3D艺趣坊,山顶凌霄阁,山顶道128号,山顶道128号,1.0,0
9,C622-M189,宝云道健身径,香港视觉艺术中心,坚尼地道,坚尼地道,1.0,0
10,C649-M226,愈乔二公祠,洪圣庙,屏厦路,屏厦路,1.0,0
11,C751-M226,清暑轩,洪圣庙,屏厦路,屏厦路,1.0,0
12,C766-M15,美食博覽,金紫荆广场,博览道1号,博览道1号,1.0,0
13,C766-M43,美食博覽,香港会议展览中心,博览道1号,博览道1号,1.0,0
14,C766-M167,美食博覽,香港回归祖国纪念碑,博览道1号,博览道1号,1.0,0
15,C770-M138,皇后大道西,皇后大道中,皇后大道,皇后大道,1.0,1
16,C770-M161,皇后大道西,汇丰银行,皇后大道,皇后大道,1.0,0
17,C833-M199,索罟湾码头,南丫岛渔民文化村,第一街,第一街,1.0,0
18,C841-M81,金庸故事馆,香港文化博物馆,文林路1号,文林路1号,1.0,0
19,C899-M63,文武庙,荷李活道,荷李活道,荷李活道,1.0,0
20,C899-M160,文武庙,楼梯街,荷李活道,荷李活道,1.0,0
21,C901-M28,张保仔帆船,天星码头,梳士巴利道,梳士巴利道,1.0,0
22,C915-M141,TVB大本营,电视广播城,骏才街77号,骏才街77号,1.0,1
23,C918-M138,皇后大道东,皇后大道中,皇后大道,皇后大道,1.0,1
24,C918-M161,皇后大道东,汇丰银行,皇后大道,皇后大道,1.0,0
25,C932-M64,香港迪士尼乐园铁路,幻想世界,幻想道,幻想道,1.0,0
26,C939-M15,香港会议展览中心,金紫荆广场,博览道1号,博览道1号,1.0,0
27,C939-M167,香港会议展览中心,香港回归祖国纪念碑,博览道1号,博览道1号,1.0,0
28,C965-M115,大館（前中区警署建築群）,中区警署建筑群,荷李活道10號,荷李活道10號,1.0,1
29,C973-M228,大棠有机生态园,大棠荔枝山庄,大棠山道11号,大棠山道11号,1.0,1
30,C975-M15,香港书展,金紫荆广场,博览道1号,博览道1号,1.0,0
31,C975-M43,香港书展,香港会议展览中心,博览道1号,博览道1号,1.0,0
32,C975-M167,香港书展,香港回归祖国纪念碑,博览道1号,博览道1号,1.0,0
33,C1009-M107,中环中心,香港中环中心,皇后大道中99号,皇后大道中99号,1.0,1
34,C1024-M120,昂坪360缆车,昂坪山,达东路11号,达东路11号,1.0,0
35,C1038-M13,凌霄阁,香港杜莎夫人蜡像馆,山顶道128号,山顶道128号,1.0,0
36,C1038-M21,凌霄阁,山顶凌霄阁,山顶道128号,山顶道128号,1.0,1
37,C1049-M24,中环摩天轮,香港摩天轮,民光街33号,民光街33号,1.0,1
38,C1050-M12,庙街夜市,庙街(香港),油麻地庙街,油麻地庙街,1.0,1
39,C1050-M136,庙街夜市,庙街天后宫,油麻地庙街,油麻地庙街,1.0,0
40,C1053-M43,金紫荆广场,香港会议展览中心,博览道1号,博览道1号,1.0,0
41,C1053-M167,金紫荆广场,香港回归祖国纪念碑,博览道1号,博览道1号,1.0,0
42,C1058-M58,煤气灯街,都爹利街石阶及煤气灯,都爹利街13号,都爹利街13号,1.0,1
43,C1064-M37,怪兽大厦,鲗鱼涌巨厦,英皇道1010-1044,英皇道1010-1044,1.0,1
44,C1079-M17,中环至半山自动扶梯,半山扶梯,租庇利街,租庇利街,1.0,1
45,C1076-M42,尖沙咀钟楼,香港太空馆,梳士巴利道10號,梳士巴利道10号,0.9931823388582212,0
46,C480-M85,终审法院,香港立法会大楼,昃臣道8號,昃臣道8号,0.992397675299069,1
47,C454-M146,坚巷花园,香港医学博物馆,坚巷2号,的坚巷2号,0.990918693664649,0
48,C416-M47,马湾公园古迹馆,香港挪亚方舟,珀欣路33號,珀欣路33号,0.9906344393187563,0
49,C8-M38,山顶缆车历史珍藏馆,太平山顶缆车,花園道33號,花园道33号,0.9880818511415856,0